Measurement	Replicate	6_TG	Time	Cells
0.6314	1	200	24	S18
0.8042	1	50	24	S18
0.735	1	25	24	S18
1.1751	1	12	24	S18
1.0871	1	6	24	S18
0.819	1	3	24	S18
1.2620	1	1.5	24	S18
1.3699	1	0	24	S18
0.6327	2	200	24	S18
0.7238	2	50	24	S18
0.9679	2	25	24	S18
0.9135	2	12	24	S18
1.0219	2	6	24	S18
1.2876	2	3	24	S18
1.1871	2	1.5	24	S18
1.0189	2	0	24	S18
0.4168	1	200	48	S18
1.13	1	50	48	S18
0.8503	1	25	48	S18
0.714	1	12	48	S18
0.3643	1	6	48	S18
1.539800	1	3	48	S18
1.1099	1	1.5	48	S18
1.55370	1	0	48	S18
0.66407	2	200	48	S18
0.6997	2	50	48	S18
1.0643	2	25	48	S18
1.0582	2	12	48	S18
1.2461	2	6	48	S18
1.4415	2	3	48	S18
1.3846	2	1.5	48	S18
1.672300	2	0	48	S18
0.5101	1	200	72	S18
0.4928	1	50	72	S18
0.5987	1	25	72	S18
0.7469	1	12	72	S18
0.6013	1	6	72	S18
1.4372	1	3	72	S18
0.8137	1	1.5	72	S18
1.435	1	0	72	S18
0.369	2	200	72	S18
0.451	2	50	72	S18
0.5024	2	25	72	S18
0.6366	2	12	72	S18
0.6356	2	6	72	S18
0.9712	2	3	72	S18
0.9246	2	1.5	72	S18
1.43	2	0	72	S18
1.741500	3	10	24	S18
2.433000	3	30	24	S18
2.141300	3	100	24	S18
3.700000	3	0	24	S18
1.729800	3	10	24	S18
2.314800	4	30	24	S18
2.233600	4	100	24	S18
3.765200	4	0	24	S18
2.56760	3	10	48	S18
2.20310	3	30	48	S18
1.73710	3	100	48	S18
3.90130	3	0	48	S18
2.49910	4	10	48	S18
2.40160	4	30	48	S18
1.79720	4	100	48	S18
3.98310	4	0	48	S18
1.19550	1	200	24	R1/E
1.05650	1	50	24	R1/E
1.56810	1	25	24	R1/E
1.79500	1	12	24	R1/E
1.80340	1	6	24	R1/E
2.10840	1	3	24	R1/E
1.66940	1	1.5	24	R1/E
2.07320	1	0	24	R1/E
1.04950	2	200	24	R1/E
1.01230	2	50	24	R1/E
1.30490	2	25	24	R1/E
1.39930	2	12	24	R1/E
1.50050	2	6	24	R1/E
1.67820	2	3	24	R1/E
1.66910	2	1.5	24	R1/E
2.25330	2	0	24	R1/E
2.2409	1	200	48	R1/E
1.4200	1	50	48	R1/E
2.8324	1	25	48	R1/E
2.7215	1	12	48	R1/E
2.5219	1	6	48	R1/E
2.7485	1	3	48	R1/E
2.7995	1	1.5	48	R1/E
2.7771	1	0	48	R1/E
1.2750	2	200	48	R1/E
1.3810	2	50	48	R1/E
2.2898	2	25	48	R1/E
2.4001	2	12	48	R1/E
2.1786	2	6	48	R1/E
2.1187	2	3	48	R1/E
2.0551	2	1.5	48	R1/E
2.1137	2	0	48	R1/E
0.6155	1	200	72	R1/E
1.2807	1	50	72	R1/E
2.1680	1	25	72	R1/E
2.3806	1	12	72	R1/E
1.9508	1	6	72	R1/E
2.1022	1	3	72	R1/E
1.7898	1	1.5	72	R1/E
1.9629	1	0	72	R1/E
0.6625	2	200	72	R1/E
1.6019	2	50	72	R1/E
2.1883	2	25	72	R1/E
2.0403	2	12	72	R1/E
1.8149	2	6	72	R1/E
2.0712	2	3	72	R1/E
1.9200	2	1.5	72	R1/E
1.9595	2	0	72	R1/E
1.0005	3	100	24	R1/E
1.0456	3	30	24	R1/E
1.0539	3	10	24	R1/E
1.1235	3	0	24	R1/E
0.8758	4	100	24	R1/E
0.8835	4	30	24	R1/E
0.8307	4	10	24	R1/E
1.1966	4	0	24	R1/E
1.24	1	200	24	E14
1	1	50	24	E14
0.4485	1	25	24	E14
1.39220	1	12	24	E14
0.4019	1	6	24	E14
0.7837	1	3	24	E14
0.4891	1	1.5	24	E14
0.77151	1	0	24	E14
0.4549	2	200	24	E14
0.13919	2	50	24	E14
1.26200	2	25	24	E14
0.525	2	12	24	E14
0.44378	2	6	24	E14
0.4498	2	3	24	E14
0.4515	2	1.5	24	E14
0.55194	2	0	24	E14
1.88780	1	200	24	Blm-/-
1.80480	1	50	24	Blm-/-
1.79100	1	25	24	Blm-/-
1.59700	1	12	24	Blm-/-
1.37810	1	6	24	Blm-/-
1.63840	1	3	24	Blm-/-
1.20460	1	1.5	24	Blm-/-
1.91190	1	0	24	Blm-/-
1.36250	2	200	24	Blm-/-
1.47670	2	50	24	Blm-/-
1.33070	2	25	24	Blm-/-
1.35460	2	12	24	Blm-/-
1.25730	2	6	24	Blm-/-
1.43460	2	3	24	Blm-/-
1.27010	2	1.5	24	Blm-/-
1.16060	2	0	24	Blm-/-
1.7364	1	200	48	Blm-/-
1.5458	1	50	48	Blm-/-
1.5212	1	25	48	Blm-/-
1.6796	1	12	48	Blm-/-
1.5539	1	6	48	Blm-/-
1.5730	1	3	48	Blm-/-
1.5208	1	1.5	48	Blm-/-
1.6307	1	0	48	Blm-/-
1.8224	2	200	48	Blm-/-
0.7581	2	50	48	Blm-/-
1.5966	2	25	48	Blm-/-
1.5344	2	12	48	Blm-/-
1.7316	2	6	48	Blm-/-
1.7785	2	3	48	Blm-/-
1.8157	2	1.5	48	Blm-/-
1.7513	2	0	48	Blm-/-
2.3564	1	200	72	Blm-/-
2.5369	1	50	72	Blm-/-
2.7965	1	25	72	Blm-/-
2.2648	1	12	72	Blm-/-
2.5227	1	6	72	Blm-/-
2.4229	1	3	72	Blm-/-
2.6730	1	1.5	72	Blm-/-
2.6092	1	0	72	Blm-/-
1.2964	2	200	72	Blm-/-
2.2938	2	50	72	Blm-/-
2.0031	2	25	72	Blm-/-
2.1724	2	12	72	Blm-/-
2.1644	2	6	72	Blm-/-
2.3395	2	3	72	Blm-/-
2.0640	2	1.5	72	Blm-/-
2.4906	2	0	72	Blm-/-
